Energy,Intensity
13.81,0
26.344,0.02
27.03,0
31.4,0
32.183,0
33.196,0.003
38.54,0
42.73,0
43.423,0
51.01,0
54.0,0
55.56,0
56.8,0
57.85,0
59.54,0.4
61.46,0
64.83,0
67.45,0
69.76,0
75.8,0
78.1,0
79.1,0
92.1,0
96.7,0
98.97,0
102.98,0
106.42,0
109.70,0
115.54,0
120.36,0
123.01,0
125.30,0
128.05,0
129.2,0
135.3,0
136.7,0
138.5,0
139.44,0
146.55,0
150.04,0
154.27,0
156.4,0
159.26,0
161.54,0
164.69,0
165.81,0
169.56,0
175.07,0
190.40,0
191.96,0
197.0,0
201.70,0
204.06,0
208.01,0
221.46,0
221.80,0
232.81,0
234.33,0
246.73,0
249.00,0
260.80,0
260.80,0
264.89,0
264.89,0
267.58,0
270.63,0
275.77,0
278.04,0
291.30,0
292.77,0
300.13,0
304.21,0
309.1,0
316.8,0
322.52,0
322.52,0
332.35,0
335.37,0
337.7,0
340.56,0
358.25,0
368.65,0
370.94,0
376.65,0
383.81,0
389.0,0
390.62,0
398.64,0
401.3,0
406.35,0
415.88,0
419.33,0
426.47,0
429.94,0
442.81,0
446.43,0
452.6,0
454.66,0
454.66,0
459.68,0
463.22,0
468.12,0
485.91,0
487.3,0
487.3,0
512.5,0
514.0,0
522.06,0
529.17,0
545.4,0
563.05,0
573.94,0
582.6,0
586.59,0
590.28,0
590.28,0
597.48,0
619.01,0
627.18,0
632.93,0
641.47,0
653.02,0
662.40,0
666.5,0
669.83,0
676.03,0
680.10,0
688.72,0
693.62,0
696.60,0
696.60,0
709.45,0
722.01,0
722.01,0
729.72,0
731.5,0
737.34,0
742.9,0
755.90,0
759.38,0
763.9,0
767.00,0
770.57,0
772.4,0
777.2,0
780.7,0
782.2,0
786.00,0
789.17,0
794.92,0
801.94,0
806.26,0
812.01,0
819.0,0
819.0,0
822.6,0
822.6,0
828.5,0
835.6,0
841.5,0
847.4,0
851.6,0
854.7,0
860.7,0
862.7,0
870.7,0
887.3,0
898.4,0
902.5,0
912.4,0
921.5,0
928.8,0
945.7,0
955.7,0
"1,014.7",0
